industry_type,num_bearing_makes,bearing_makes
INDUSTRY_1,11,"['MAKE_1', 'MAKE_12', 'MAKE_13', 'MAKE_2', 'MAKE_3', 'MAKE_4', 'MAKE_5', 'MAKE_6', 'MAKE_7', 'MAKE_8', 'MAKE_9']"
INDUSTRY_10,5,"['MAKE_1', 'MAKE_17', 'MAKE_4', 'MAKE_5', 'MAKE_8']"
INDUSTRY_11,6,"['MAKE_1', 'MAKE_14', 'MAKE_16', 'MAKE_3', 'MAKE_4', 'MAKE_7']"
INDUSTRY_12,3,"['MAKE_1', 'MAKE_4', 'MAKE_6']"
INDUSTRY_13,2,"['MAKE_1', 'MAKE_4']"
INDUSTRY_16,3,"['MAKE_1', 'MAKE_4', 'MAKE_5']"
INDUSTRY_17,1,['MAKE_4']
INDUSTRY_2,7,"['MAKE_1', 'MAKE_13', 'MAKE_15', 'MAKE_2', 'MAKE_4', 'MAKE_5', 'MAKE_6']"
INDUSTRY_3,8,"['MAKE_1', 'MAKE_13', 'MAKE_3', 'MAKE_4', 'MAKE_5', 'MAKE_7', 'MAKE_8', 'MAKE_9']"
INDUSTRY_4,3,"['MAKE_1', 'MAKE_4', 'MAKE_7']"
INDUSTRY_5,5,"['MAKE_1', 'MAKE_3', 'MAKE_4', 'MAKE_5', 'MAKE_8']"
INDUSTRY_6,2,"['MAKE_1', 'MAKE_4']"
INDUSTRY_7,16,"['MAKE_1', 'MAKE_10', 'MAKE_11', 'MAKE_12', 'MAKE_13', 'MAKE_14', 'MAKE_15', 'MAKE_16', 'MAKE_2', 'MAKE_3', 'MAKE_4', 'MAKE_5', 'MAKE_6', 'MAKE_7', 'MAKE_8', 'MAKE_9']"
INDUSTRY_8,2,"['MAKE_1', 'MAKE_4']"
INDUSTRY_9,5,"['MAKE_1', 'MAKE_12', 'MAKE_4', 'MAKE_6', 'MAKE_7']"
