lubrication_type,bearing_type_assigned_1,num_bearing_makes,bearing_makes
Drip Oil Feed Lubrication,Bearing_105,1,['MAKE_1']
Drip Oil Feed Lubrication,Bearing_148,1,['MAKE_6']
Drip Oil Feed Lubrication,Bearing_24,1,['MAKE_4']
Drip Oil Feed Lubrication,Bearing_33,1,['MAKE_4']
Drip Oil Feed Lubrication,Bearing_334,1,['MAKE_1']
Drip Oil Feed Lubrication,Bearing_354,1,['MAKE_4']
Drip Oil Feed Lubrication,Bearing_46,1,['MAKE_1']
Drip Oil Feed Lubrication,Bearing_498,1,['MAKE_4']
Drip Oil Feed Lubrication,Bearing_685,1,['MAKE_14']
Drip Oil Feed Lubrication,Bearing_686,1,['MAKE_14']
Drip Oil Feed Lubrication,Bearing_730,1,['MAKE_4']
Force Oil Feed Lubrication,Bearing_123,1,['MAKE_1']
Force Oil Feed Lubrication,Bearing_224,1,['MAKE_12']
Force Oil Feed Lubrication,Bearing_351,1,['MAKE_1']
Force Oil Feed Lubrication,Bearing_369,1,['MAKE_1']
Force Oil Feed Lubrication,Bearing_383,1,['MAKE_9']
Force Oil Feed Lubrication,Bearing_496,1,['MAKE_1']
Force Oil Feed Lubrication,Bearing_609,1,['MAKE_4']
Force Oil Feed Lubrication,Bearing_610,1,['MAKE_4']
Force Oil Feed Lubrication,Bearing_611,1,['MAKE_1']
Force Oil Feed Lubrication,Bearing_612,1,['MAKE_1']
Force Oil Feed Lubrication,Bearing_632,1,['MAKE_1']
Force Oil Feed Lubrication,Bearing_720,1,['MAKE_1']
Grease Lubrication,Bearing_102,1,['MAKE_1']
Grease Lubrication,Bearing_104,1,['MAKE_1']
Grease Lubrication,Bearing_112,1,['MAKE_4']
Grease Lubrication,Bearing_113,1,['MAKE_8']
Grease Lubrication,Bearing_115,1,['MAKE_1']
Grease Lubrication,Bearing_116,1,['MAKE_1']
Grease Lubrication,Bearing_119,1,['MAKE_1']
Grease Lubrication,Bearing_12,1,['MAKE_1']
Grease Lubrication,Bearing_121,1,['MAKE_5']
Grease Lubrication,Bearing_126,1,['MAKE_1']
Grease Lubrication,Bearing_13,1,['MAKE_1']
Grease Lubrication,Bearing_130,1,['MAKE_1']
Grease Lubrication,Bearing_135,1,['MAKE_4']
Grease Lubrication,Bearing_136,1,['MAKE_4']
Grease Lubrication,Bearing_138,1,['MAKE_4']
Grease Lubrication,Bearing_140,1,['MAKE_1']
Grease Lubrication,Bearing_141,1,['MAKE_5']
Grease Lubrication,Bearing_147,1,['MAKE_5']
Grease Lubrication,Bearing_148,1,['MAKE_6']
Grease Lubrication,Bearing_15,1,['MAKE_5']
Grease Lubrication,Bearing_153,1,['MAKE_4']
Grease Lubrication,Bearing_154,1,['MAKE_1']
Grease Lubrication,Bearing_157,1,['MAKE_1']
Grease Lubrication,Bearing_161,1,['MAKE_1']
Grease Lubrication,Bearing_163,1,['MAKE_1']
Grease Lubrication,Bearing_164,1,['MAKE_1']
Grease Lubrication,Bearing_167,1,['MAKE_7']
Grease Lubrication,Bearing_173,1,['MAKE_1']
Grease Lubrication,Bearing_174,1,['MAKE_1']
Grease Lubrication,Bearing_176,1,['MAKE_1']
Grease Lubrication,Bearing_177,1,['MAKE_4']
Grease Lubrication,Bearing_18,1,['MAKE_1']
Grease Lubrication,Bearing_186,1,['MAKE_7']
Grease Lubrication,Bearing_19,1,['MAKE_1']
Grease Lubrication,Bearing_191,1,['MAKE_4']
Grease Lubrication,Bearing_193,1,['MAKE_1']
Grease Lubrication,Bearing_196,1,['MAKE_1']
Grease Lubrication,Bearing_20,1,['MAKE_4']
Grease Lubrication,Bearing_205,1,['MAKE_4']
Grease Lubrication,Bearing_208,1,['MAKE_1']
Grease Lubrication,Bearing_210,1,['MAKE_7']
Grease Lubrication,Bearing_215,1,['MAKE_4']
Grease Lubrication,Bearing_22,1,['MAKE_1']
Grease Lubrication,Bearing_220,1,['MAKE_1']
Grease Lubrication,Bearing_222,1,['MAKE_1']
Grease Lubrication,Bearing_223,1,['MAKE_1']
Grease Lubrication,Bearing_225,1,['MAKE_4']
Grease Lubrication,Bearing_233,1,['MAKE_6']
Grease Lubrication,Bearing_237,1,['MAKE_1']
Grease Lubrication,Bearing_241,1,['MAKE_1']
Grease Lubrication,Bearing_244,1,['MAKE_5']
Grease Lubrication,Bearing_247,1,['MAKE_1']
Grease Lubrication,Bearing_250,1,['MAKE_4']
Grease Lubrication,Bearing_26,1,['MAKE_1']
