rpm_bucket,bearing_type_assigned_1,num_bearing_makes,bearing_makes
Low,Bearing_100,1,['MAKE_4']
Low,Bearing_101,1,['MAKE_1']
Low,Bearing_103,1,['MAKE_1']
Low,Bearing_105,1,['MAKE_1']
Low,Bearing_109,1,['MAKE_1']
Low,Bearing_110,1,['MAKE_1']
Low,Bearing_111,1,['MAKE_1']
Low,Bearing_114,1,['MAKE_4']
Low,Bearing_118,1,['MAKE_7']
Low,Bearing_12,1,['MAKE_1']
Low,Bearing_120,1,['MAKE_1']
Low,Bearing_122,1,['MAKE_1']
Low,Bearing_123,1,['MAKE_1']
Low,Bearing_127,1,['MAKE_9']
Low,Bearing_128,1,['MAKE_1']
Low,Bearing_13,1,['MAKE_1']
Low,Bearing_132,1,['MAKE_1']
Low,Bearing_133,1,['MAKE_4']
Low,Bearing_134,1,['MAKE_4']
Low,Bearing_14,1,['MAKE_1']
Low,Bearing_143,1,['MAKE_1']
Low,Bearing_145,1,['MAKE_4']
Low,Bearing_146,1,['MAKE_5']
Low,Bearing_148,1,['MAKE_6']
Low,Bearing_154,1,['MAKE_1']
Low,Bearing_16,1,['MAKE_1']
Low,Bearing_160,1,['MAKE_1']
Low,Bearing_161,1,['MAKE_1']
Low,Bearing_163,1,['MAKE_1']
Low,Bearing_166,1,['MAKE_4']
Low,Bearing_170,1,['MAKE_4']
Low,Bearing_172,1,['MAKE_1']
Low,Bearing_173,1,['MAKE_1']
Low,Bearing_176,1,['MAKE_1']
Low,Bearing_177,1,['MAKE_4']
Low,Bearing_18,1,['MAKE_1']
Low,Bearing_180,1,['MAKE_1']
Low,Bearing_181,1,['MAKE_1']
Low,Bearing_182,1,['MAKE_1']
Low,Bearing_188,1,['MAKE_7']
Low,Bearing_19,1,['MAKE_1']
Low,Bearing_190,1,['MAKE_1']
Low,Bearing_194,1,['MAKE_1']
Low,Bearing_197,1,['MAKE_4']
Low,Bearing_198,1,['MAKE_1']
Low,Bearing_199,1,['MAKE_1']
Low,Bearing_2,1,['MAKE_2']
Low,Bearing_202,1,['MAKE_1']
Low,Bearing_204,1,['MAKE_1']
Low,Bearing_205,1,['MAKE_4']
Low,Bearing_206,1,['MAKE_4']
Low,Bearing_207,1,['MAKE_1']
Low,Bearing_212,1,['MAKE_1']
Low,Bearing_213,1,['MAKE_1']
Low,Bearing_214,1,['MAKE_1']
Low,Bearing_215,1,['MAKE_4']
Low,Bearing_216,1,['MAKE_1']
Low,Bearing_218,1,['MAKE_1']
Low,Bearing_22,1,['MAKE_1']
Low,Bearing_223,1,['MAKE_1']
Low,Bearing_224,1,['MAKE_12']
Low,Bearing_227,1,['MAKE_1']
Low,Bearing_23,1,['MAKE_1']
Low,Bearing_230,1,['MAKE_1']
Low,Bearing_235,1,['MAKE_1']
Low,Bearing_236,1,['MAKE_1']
Low,Bearing_238,1,['MAKE_1']
Low,Bearing_239,1,['MAKE_2']
Low,Bearing_24,1,['MAKE_4']
Low,Bearing_240,1,['MAKE_1']
