unnamed:_0,bearing_type_assigned_1,bearing_type_assigned_2,bearing_type_assigned_3,bearing_make,industry_type,lubrication_method,monitor_id,subscription_start,subscription_end,machine_type,speed_type,rpm_min,rpm_max,timestamp_of_fault,bearing_severity_class,bearing_type,operational_days,severity
0,Bearing_1,,,MAKE_1,INDUSTRY_1,Not Available,11781,2021-02-01,,Fan - Centrifugal Fan(Single Suction),VARIABLE,2350.0,2550.0,2021-06-23 15:56:54.000,0,Bearing_1,142.0,0
1,Bearing_2,,,MAKE_2,INDUSTRY_2,Not Available,17974,2021-05-18,,Gearbox - Helical Gearbox,VARIABLE,12.0,23.0,2021-11-16 11:42:25.000,0,Bearing_2,182.0,0
2,Bearing_3,,,MAKE_1,INDUSTRY_1,Not Available,29078,2021-09-29,,Fan - Over Hung Fan,FIXED,1500.0,1500.0,2021-12-29 05:09:41.963,0,Bearing_3,91.0,0
3,Bearing_4,,,MAKE_1,INDUSTRY_1,Not Available,19570,2021-06-01,,Gearbox - Helical Gearbox,VARIABLE,780.0,900.0,2022-01-18 05:05:15.000,0,Bearing_4,231.0,0
4,Bearing_4,,,MAKE_1,INDUSTRY_1,Not Available,19561,2021-06-01,,Gearbox - Helical Gearbox,VARIABLE,600.0,900.0,2022-01-18 09:45:03.924,0,Bearing_4,231.0,0
5,Bearing_5,,,MAKE_1,INDUSTRY_1,Not Available,30226,2021-10-11,,Motor - AC Motor,FIXED,2985.0,2985.0,2022-01-25 10:04:21.603,0,Bearing_5,106.0,0
6,Bearing_6,,,MAKE_1,INDUSTRY_1,Not Available,22756,2021-06-26,,Fan - Centrifugal Fan(Single Suction),VARIABLE,500.0,1000.0,2022-01-31 00:00:20.000,0,Bearing_6,219.0,0
7,Bearing_1,,,MAKE_1,INDUSTRY_1,Not Available,11781,2021-02-01,,Fan - Centrifugal Fan(Single Suction),VARIABLE,2350.0,2550.0,2022-02-03 07:21:56.000,0,Bearing_1,367.0,0
8,Bearing_7,,,MAKE_1,INDUSTRY_3,Not Available,33326,2021-11-19,,Blower - Blower,VARIABLE,1200.0,2935.0,2022-02-17 05:27:47.000,0,Bearing_7,90.0,0
9,Bearing_8,,,MAKE_1,INDUSTRY_1,Not Available,19575,2021-06-01,,Gearbox - Helical Gearbox,VARIABLE,780.0,930.0,2022-02-20 16:49:29.000,0,Bearing_8,264.0,0
