bearing_type_assigned_1,best_industry,avg_operational_days,record_count
Bearing_102,INDUSTRY_11,585.9411764705883,17
Bearing_104,INDUSTRY_3,529.9565217391304,23
Bearing_105,INDUSTRY_1,833.8,5
Bearing_108,INDUSTRY_7,740.8,15
Bearing_109,INDUSTRY_2,1329.4,5
Bearing_11,INDUSTRY_1,784.4285714285714,7
Bearing_111,INDUSTRY_7,541.3076923076923,13
Bearing_115,INDUSTRY_1,682.5,8
Bearing_116,INDUSTRY_7,513.4444444444445,9
Bearing_118,INDUSTRY_1,684.8888888888889,9
Bearing_119,INDUSTRY_1,993.5,6
Bearing_12,INDUSTRY_4,619.0,5
Bearing_121,INDUSTRY_7,667.6363636363636,11
Bearing_123,INDUSTRY_3,517.2857142857143,7
Bearing_125,INDUSTRY_7,527.75,12
Bearing_129,INDUSTRY_1,525.6666666666666,12
Bearing_13,INDUSTRY_5,566.5357142857143,28
Bearing_131,INDUSTRY_7,564.375,8
Bearing_132,INDUSTRY_1,652.8,10
Bearing_134,INDUSTRY_7,383.4,5
Bearing_135,INDUSTRY_2,616.5454545454545,11
Bearing_14,INDUSTRY_1,725.56,25
Bearing_140,INDUSTRY_3,689.8181818181819,11
Bearing_141,INDUSTRY_7,557.25,16
Bearing_148,INDUSTRY_7,577.0,8
Bearing_15,INDUSTRY_1,1016.952380952381,21
Bearing_150,INDUSTRY_7,496.2857142857143,7
Bearing_153,INDUSTRY_7,666.3333333333334,21
Bearing_157,INDUSTRY_7,407.6470588235294,17
Bearing_159,INDUSTRY_2,552.1428571428571,14
Bearing_16,INDUSTRY_3,814.8928571428571,28
Bearing_161,INDUSTRY_3,250.83333333333334,6
Bearing_168,INDUSTRY_1,495.6666666666667,12
Bearing_171,INDUSTRY_7,410.75,8
Bearing_173,INDUSTRY_7,501.6326530612245,49
Bearing_176,INDUSTRY_10,327.85714285714283,7
Bearing_178,INDUSTRY_3,507.0,5
Bearing_18,INDUSTRY_1,505.0,28
Bearing_184,INDUSTRY_7,448.70588235294116,17
Bearing_186,INDUSTRY_7,449.75,12
Bearing_19,INDUSTRY_1,548.2,10
Bearing_190,INDUSTRY_7,616.8571428571429,14
Bearing_192,INDUSTRY_3,560.8461538461538,13
