machine_type,rpm_range,avg_life,median_life,count
Agitator - Agitator,2000–2999,608.5,608.5,2
Agitator - Agitator,500–999,683.0,683.0,2
Blower - Blower,1000–1999,526.3052391799545,587.0,439
Blower - Blower,2000–2999,406.793893129771,414.0,262
Blower - Blower,3000+,615.516129032258,663.0,62
Blower - Blower,500–999,428.09448818897636,364.0,127
Blower - Blower,<500,376.0184049079755,306.0,163
Blower - Root Blower,1000–1999,858.3333333333334,844.0,6
Blower - Root Blower,2000–2999,478.2857142857143,512.0,7
Blower - Root Blower,500–999,260.4,320.5,10
Blower - Root Blower,<500,80.5,80.5,2
Compressor - Centrifugal Compressor,1000–1999,788.5,788.5,2
Compressor - Screw Compressor,1000–1999,107.33333333333333,67.0,6
Compressor - Screw Compressor,2000–2999,61.0,61.0,1
Conveyor - Belt Conveyor,1000–1999,515.0,515.0,2
Conveyor - Belt Conveyor,<500,474.91,284.5,100
Conveyor - Bucket Elevator,1000–1999,704.375,786.0,24
Conveyor - Bucket Elevator,500–999,1151.5,1151.5,2
Conveyor - Bucket Elevator,<500,344.94444444444446,263.0,54
Conveyor - Chain Conveyor,<500,86.66666666666667,77.0,3
Conveyor - Pan Conveyor,<500,367.6666666666667,185.0,3
Crusher - Cone Crusher,<500,559.1,585.0,10
Crusher - Hammer Crusher,1000–1999,438.61538461538464,463.5,26
Crusher - Hammer Crusher,500–999,391.734693877551,395.0,49
Crusher - Hammer Crusher,<500,360.1025641025641,333.0,39
Crusher - Jaw Crusher,1000–1999,241.3,181.5,10
Crusher - Jaw Crusher,500–999,264.45454545454544,174.0,22
Crusher - Jaw Crusher,<500,37.0,49.0,3
Dryer Cylinder,1000–1999,514.0,547.0,5
Dryer Cylinder,<500,156.7826086956522,127.0,23
Extruder - Extruder,<500,154.0,154.0,1
Fan - Axial Fan,1000–1999,479.92857142857144,517.5,84
Fan - Axial Fan,2000–2999,262.0,247.0,6
Fan - Axial Fan,500–999,343.29411764705884,343.5,102
Fan - Axial Fan,<500,101.63636363636364,43.0,11
Fan - Centrifugal Fan(Double Suction),1000–1999,276.55384615384617,229.0,65
Fan - Centrifugal Fan(Double Suction),2000–2999,207.36,228.0,25
Fan - Centrifugal Fan(Double Suction),500–999,305.30534351145036,309.0,131
Fan - Centrifugal Fan(Double Suction),<500,247.95454545454547,243.0,22
Fan - Centrifugal Fan(Single Suction),1000–1999,520.5707236842105,485.0,608
