context_key,bearing_type,avg_life,min_life,max_life,count
INDUSTRY_10|Motor - AC Motor|1490.0,Bearing_81,430.54545454545456,54.0,678.0,11
INDUSTRY_11|Blower - Blower|1200.0,Bearing_49,161.2,21.0,310.0,10
INDUSTRY_11|Blower - Blower|4000.0,Bearing_119,696.5263157894736,245.0,951.0,19
INDUSTRY_11|Blower - Blower|4000.0,Bearing_75,596.1666666666666,97.0,907.0,12
INDUSTRY_11|Fan - Over Hung Fan|2900.0,Bearing_102,585.9411764705883,29.0,827.0,17
INDUSTRY_11|Spindle - Spindle|100.0,Bearing_340,655.3,472.0,825.0,10
INDUSTRY_11|Spindle - Spindle|12.0,Bearing_377,598.1428571428571,505.0,689.0,14
INDUSTRY_13|Blower - Blower|2277.0,Bearing_200,350.53846153846155,30.0,554.0,13
INDUSTRY_1|Crusher - Hammer Crusher|286.0,Bearing_249,290.90909090909093,49.0,451.0,11
INDUSTRY_1|Fan - Centrifugal Fan(Single Suction)|1000.0,Bearing_6,821.6875,148.0,1049.0,16
INDUSTRY_1|Fan - Centrifugal Fan(Single Suction)|147.0,Bearing_12,434.9,75.0,718.0,10
INDUSTRY_1|Fan - Centrifugal Fan(Single Suction)|1490.0,Bearing_49,117.3157894736842,11.0,329.0,19
INDUSTRY_1|Fan - Centrifugal Fan(Single Suction)|1500.0,Bearing_15,1149.375,301.0,1394.0,16
INDUSTRY_1|Fan - Centrifugal Fan(Single Suction)|2975.0,Bearing_129,525.6666666666666,30.0,737.0,12
INDUSTRY_1|Fan - Over Hung Fan|1485.0,Bearing_410,835.7,688.0,943.0,10
INDUSTRY_1|Fan - Over Hung Fan|1490.0,Bearing_3,942.8333333333334,164.0,1305.0,18
INDUSTRY_1|Fan - Over Hung Fan|1500.0,Bearing_3,988.6666666666666,91.0,1362.0,42
INDUSTRY_1|Gearbox - Helical Gearbox|780.0,Bearing_4,1003.1666666666666,231.0,1318.0,12
INDUSTRY_1|Gearbox - Helical Gearbox|780.0,Bearing_8,962.25,264.0,1467.0,12
